PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
20,"Boriss Sokolovs-Karijs",9,77,135,2250,N/A,10,3,1,2308
21,"Jurijs Maslijs",15,55,120,2243,N/A,10,3,1,2308
22,"Svetlana Latve",24,56,122,2242,N/A,10,3,1,2308
23,"Aleksandrs Karpovičs",13,72,144,2236,N/A,10,3,1,2308
24,"Georgijs Gorbunovs",11,60,138,2230,N/A,10,3,1,2308
25,"Aleksandrs Aņikins",23,56,137,2227,N/A,10,3,1,2308
26,"Aleksandrs Ņikitins",25,53,141,2220,N/A,10,3,1,2308
1,"Pēteris Līcis",1,398,101,2906,N/A,10,3,2,2609
2,"Ivo Meļķis",13,183,108,2684,N/A,10,3,2,2609
3,"Aivars Sjademe",12,176,104,2681,N/A,10,3,2,2609
4,"Mārtiņš Caunītis",3,199,141,2667,N/A,10,3,2,2609
5,"Andrejs Zeibots",10,186,131,2664,N/A,10,3,2,2609
6,"Oskars Pētersons",2,165,123,2651,N/A,10,3,2,2609
7,"Gvido Puķe",6,151,130,2630,N/A,10,3,2,2609
8,"Elīna Sūna-Rubulte",5,157,147,2619,N/A,10,3,2,2609
9,"Marija Kursiša",11,150,141,2618,N/A,10,3,2,2609
10,"Arnis Agris Liepiņš",4,134,127,2616,N/A,10,3,2,2609
11,"Dainis Butāns",14,133,126,2616,N/A,10,3,2,2609
12,"Ilmārs Bundzis",8,114,125,2598,N/A,10,3,2,2609
13,"Krists Mickēvičs",9,115,133,2591,N/A,10,3,2,2609
14,"Dmitrijs Dēliņš",7,122,145,2586,N/A,10,3,2,2609
1,"Vilnis Sprudzāns",1,165,50,1046,N/A,10,3,3,931
2,"Arvīds Soldāns",5,145,45,1031,N/A,10,3,3,931
3,"Ilze Brokāne",3,125,49,1007,N/A,10,3,3,931
4,"Vilmārs Tereško",4,94,50,975,N/A,10,3,3,931
5,"Viktors Voino",2,70,58,943,N/A,10,3,3,931
6,"Inga Gutberga",9,61,52,940,N/A,10,3,3,931
7,"Andžejs Zdanovičs",7,60,54,937,N/A,10,3,3,931
8,"Inga Vasiļjeva",15,57,55,933,N/A,10,3,3,931
9,"Sergejs Rostovs",13,50,56,925,N/A,10,3,3,931
10,"Tatjana Gavriļina",6,53,60,924,N/A,10,3,3,931
11,"Daiga Berezova",8,54,61,924,N/A,10,3,3,931
12,"Vasilijs Milnis-Varnovickis",11,45,56,920,N/A,10,3,3,931
13,"Georgijs Gorbunovs",14,51,63,919,N/A,10,3,3,931
14,"Irina Barkova",12,42,57,916,N/A,10,3,3,931
15,"Inga Bojareviča",10,47,64,914,N/A,10,3,3,931
1,"Atis Apinis",1,407,47,2149,N/A,10,3,4,1789
2,"Uldis Atmats",2,182,55,1916,N/A,10,3,4,1789
3,"Andris Stepanovičs",3,169,59,1899,N/A,10,3,4,1789
4,"Inta Bergmane",4,143,55,1877,N/A,10,3,4,1789
5,"Andris Laugalis",5,133,55,1867,N/A,10,3,4,1789
6,"Uldis Dzērve",8,136,59,1866,N/A,10,3,4,1789
7,"Artis Ādmīdiņš",7,138,63,1864,N/A,10,3,4,1789
8,"Aivars Ašmanis",11,120,56,1853,N/A,10,3,4,1789
9,"Zane Krūmiņa",6,120,60,1849,N/A,10,3,4,1789
10,"Āris Kančs",9,113,56,1846,N/A,10,3,4,1789
11,"Jānis Skabarnieks",10,118,61,1846,N/A,10,3,4,1789
12,"Jānis Vīnbergs",12,116,59,1846,N/A,10,3,4,1789
13,"Viktorija Kučinska",13,107,68,1828,N/A,10,3,4,1789
1,"Anita Stankus",1,265,40,1968,N/A,10,3,5,1743
2,"Jānis Leja",2,164,39,1868,N/A,10,3,5,1743
3,"Dainis Upelnieks",4,144,47,1840,N/A,10,3,5,1743
4,"Artis Cīrulis",16,118,53,1808,N/A,10,3,5,1743
5,"Vilnis Klibiķis",3,114,51,1806,N/A,10,3,5,1743
6,"Inese Oša",13,102,43,1802,N/A,10,3,5,1743
7,"Evisa Stankus",9,94,49,1788,N/A,10,3,5,1743
8,"Alvis Bērziņš",14,84,49,1778,N/A,10,3,5,1743
9,"Guntra Vīksna",7,82,51,1774,N/A,10,3,5,1743
10,"Jānis Mickēvičs",6,79,50,1772,N/A,10,3,5,1743
11,"Juris Petrovs",5,88,66,1765,N/A,10,3,5,1743
12,"Dite Venskus",11,74,53,1764,N/A,10,3,5,1743
13,"Dmitrijs Feldmanis",15,80,59,1764,N/A,10,3,5,1743
14,"Genoveva Celma",12,77,58,1762,N/A,10,3,5,1743
15,"Valfrīds Puķe",8,66,59,1750,N/A,10,3,5,1743
16,"Anatolijs Abramovs",17,80,78,1745,N/A,10,3,5,1743
17,"Konstantins Berezovs",10,56,82,1717,N/A,10,3,5,1743
1,"Jānis Urbanovičs",1,59118,2043,174139,ievēlēts,10,4,1,117064
