PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
5,10,Andrejs,Zeibots,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,186,131,2664,N/A
6,2,Oskars,Pētersons,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,165,123,2651,N/A
7,6,Gvido,Puķe,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,151,130,2630,N/A
8,5,Elīna,Sūna-Rubulte,Female,10,3,"Ražots Latvijā",2,Vidzeme,2609,157,147,2619,N/A
9,11,Marija,Kursiša,Female,10,3,"Ražots Latvijā",2,Vidzeme,2609,150,141,2618,N/A
10,4,"Arnis Agris",Liepiņš,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,134,127,2616,N/A
11,14,Dainis,Butāns,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,133,126,2616,N/A
12,8,Ilmārs,Bundzis,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,114,125,2598,N/A
13,9,Krists,Mickēvičs,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,115,133,2591,N/A
14,7,Dmitrijs,Dēliņš,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,122,145,2586,N/A
1,1,Vilnis,Sprudzāns,Male,10,3,"Ražots Latvijā",3,Latgale,931,165,50,1046,N/A
2,5,Arvīds,Soldāns,Male,10,3,"Ražots Latvijā",3,Latgale,931,145,45,1031,N/A
3,3,Ilze,Brokāne,Female,10,3,"Ražots Latvijā",3,Latgale,931,125,49,1007,N/A
4,4,Vilmārs,Tereško,Male,10,3,"Ražots Latvijā",3,Latgale,931,94,50,975,N/A
5,2,Viktors,Voino,Male,10,3,"Ražots Latvijā",3,Latgale,931,70,58,943,N/A
6,9,Inga,Gutberga,Female,10,3,"Ražots Latvijā",3,Latgale,931,61,52,940,N/A
7,7,Andžejs,Zdanovičs,Male,10,3,"Ražots Latvijā",3,Latgale,931,60,54,937,N/A
8,15,Inga,Vasiļjeva,Female,10,3,"Ražots Latvijā",3,Latgale,931,57,55,933,N/A
