"","PostNum","PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName","BallotsForParty","Pluses","Minuses","Points","Result"
"196",13,10,"Ārija","Skuba","Female",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,314,463,9352," "
"197",14,8,"Ludvigs","Bitins","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,294,447,9348," "
"198",15,2,"Paulis","Čimurs","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,331,518,9314,""
"199",1,1,"Baiba","Pelse","Female",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,417,40,2618," "
"200",2,3,"Mārtiņš","Neibults-Miebolts","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,227,52,2416," "
"201",3,2,"Vladimirs","Konovalovs","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,196,88,2349," "
"202",4,13,"Ārija","Ruduse","Female",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,143,64,2320," "
"203",5,16,"Dace","Freivalde","Female",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,133,55,2319," "
"204",6,19,"Alfons Oskars","Jansons","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,131,55,2317," "
"205",7,20,"Regīna","Medne","Female",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,124,54,2311," "
"206",8,6,"Imants","Gronskis","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,129,70,2300," "
"207",9,17,"Jānis","Kalnačs","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,110,53,2298," "
"208",10,5,"Zigurds","Pikmanis","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,121,66,2296," "
"209",11,12,"Ēriks","Krūklis","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,107,63,2285," "
"210",12,18,"Alfrēds","Zilgalvis","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,95,54,2282," "
"211",13,7,"Igors","Vītols","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,107,67,2281," "
"212",14,4,"Arvīds","Kļavinskis","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,117,78,2280," "
"213",15,9,"Guntars","Jirgensons","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,107,70,2278," "
"214",16,14,"Juris","Rieksts","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,91,54,2278," "
"215",17,11,"Staņislavs","Vaivods","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,108,85,2264," "
"216",18,15,"Uldis","Dance","Male",6,3,"Maznodrošināto apvienība",1,"Rīga",2241,85,63,2263," "
